building_id,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,day,month,weekday,meter_reading
1202,13,Office,16805,1970,3,11.7,2,8.9,0,1016.8,140,3.6,16,11,5,2,176.246
1278,14,Education,79949,1970,3,2.2,2,-4.4,0,1021.6,20,2.1,13,8,1,4,174.903
537,3,Education,73200,1959,3,-5.6,2,-8.3,-1,1016.4,140,2.6,12,15,2,0,175.46
488,3,Education,69600,1908,3,5,2,3.3,-1,1019.8,60,2.1,11,3,2,2,119.47
1249,14,Office,159384,1970,3,8.3,0,-1.7,0,1022.2,190,4.1,2,31,3,3,338
429,3,Public services,11934,1930,3,-7.2,2,-18.3,0,1036,320,4.6,15,14,2,6,10.65
172,2,Office,121440,1983,3,21.1,4,2.8,0,1008.9,140,4.6,16,28,3,0,168.59
1069,13,Office,20864,1970,3,3.9,2,0.6,0,1015.7,240,2.1,21,23,2,1,10.4
1141,13,Parking,20986,1970,3,14.4,0,3.9,0,1019.1,0,0,11,22,5,6,23
1251,14,Education,104604,1970,3,3.9,0,-1.1,0,1026.5,10,2.1,11,14,4,3,294
385,3,Public services,18432,1973,3,17.8,0,-2.2,0,1026.7,20,2.1,16,20,4,2,19.17
1113,13,Office,33401,1970,3,18.3,2,8.3,0,1012.1,110,4.6,21,20,4,2,0
286,2,Lodging/residential,32841,1935,3,29.4,0,-7.8,0,1017.5,110,2.6,23,8,2,0,24.24
222,2,Entertainment/public assembly,11935,1939,3,13.3,2,1.7,0,1015.4,0,0,3,15,1,4,12.21
823,8,Public services,35253,1970,1,13.9,0,7.2,0,1010.2,220,1.5,9,6,5,4,124.167
1275,14,Office,114166,1970,3,21.1,0,15,0,1020.5,200,2.1,12,29,5,6,162.39
694,5,Education,30613,1976,4,6,2,3,0,1016.4,20,1,8,23,3,2,27.8
193,2,Office,6203,1999,3,30,2,-6.1,0,1007.3,260,5.1,5,22,4,4,4.25
520,3,Office,27600,1970,3,13.9,2,10.6,13,1010.6,270,1.5,23,4,4,0,18.02
150,1,Office,65657,1955,8,11.7,2,8,0,1005.9,260,7.2,12,6,4,2,527.2
1213,13,Warehouse/storage,39464,1970,3,-19.4,2,-22.8,0,1031.7,0,0,5,19,1,1,27.533
365,3,Healthcare,819577,1922,3,-2.2,8,-3.9,-1,1000.8,350,9.8,18,23,1,5,1533.12
